"dim","best"
2,0
7,0.0104045216689902
11,4.84533575262691
16,19.9945586612596
20,31.2912717894301
25,114.332310649478
29,134.494203308519
34,231.947624884565
38,592.718563104923
43,870.996939151967
47,918.655051823527
52,3429.15186323475
56,2974.98305933529
61,5063.56467612689
65,4848.89231354596
70,7814.37245573834
74,15565.002907703
79,18189.9135914059
83,28052.1830363796
88,15302.8066717446
92,27400.2517258099
97,27276.8114632467
101,58074.5992484778
106,34053.606998186
110,54648.9926269215
115,50823.6388260362
119,56909.8167784026
124,70259.0525312857
128,81221.4728051286
133,95562.4831233414
137,89942.6308399576
142,141737.716714868
146,156883.731128113
150,137302.197403197
150,11997271.5779414
