"dim","best","repetition"
2,0,1
2,0,2
2,0,3
2,0,4
2,0,5
2,0,6
2,0,7
2,0,8
2,0,9
2,0,10
6,5.92875998664397e-08,1
6,0.00220582521251066,2
6,1.16999264249121e-07,3
6,4.96718160708014e-05,4
6,3.2314410200543e-07,5
6,5.0881084188443e-05,6
6,1.22623132064038e-07,7
6,6.96060995639301e-05,8
6,1.87962610063656e-05,9
6,3.22398123773372e-06,10
9,1.92346958810397,1
9,1.10431415931599,2
9,3.26582161022418,3
9,0.401033438252539,4
9,0.755656469317086,5
9,2.54776025232643,6
9,2.66909765977801,7
9,1.19499943578655,8
9,1.01084232335805,9
9,2.51544242843737,10
13,11.3249221018121,1
13,11.7667045273727,2
13,10.0381617465038,3
13,10.5325794776944,4
13,9.60922770634108,5
13,9.29145575208477,6
13,10.601237868472,7
13,11.0270885242718,8
13,9.2087913192827,9
13,9.18064090099438,10
16,14.5341650957265,1
16,16.3862452638803,2
16,14.6687732869256,3
16,15.1712086384158,4
16,18.1651021219663,5
16,15.6787637400967,6
16,17.6402890574506,7
16,15.6541882311358,8
16,22.0273741675316,9
16,13.8967866271202,10
19,25.5289398483974,1
19,32.7162550220988,2
19,37.9042650485635,3
19,30.2659745218528,4
19,21.0560875225037,5
19,25.8891615154901,6
19,21.2905886349922,7
19,25.7152097199302,8
19,27.3067686491844,9
19,31.3821940444684,10
23,63.2611758991174,1
23,68.4966738685959,2
23,57.1531320582935,3
23,89.247057780882,4
23,123.484138011965,5
23,53.2200274905585,6
23,73.9054871871156,7
23,46.5594568322233,8
23,44.3993818568131,9
23,65.9270590758299,10
26,117.411945128234,1
26,136.580502695418,2
26,71.2128660351746,3
26,76.9509874666968,4
26,122.619626757669,5
26,128.111570733679,6
26,111.475150951141,7
26,100.264710214258,8
26,79.0675559239959,9
26,70.9128703810606,10
29,132.255559523695,1
29,158.566773857005,2
29,329.516469696461,3
29,166.579660319373,4
29,202.177786431467,5
29,214.91612190716,6
29,204.394187264104,7
29,125.564463059603,8
29,243.892275984087,9
29,340.475838407474,10
33,233.870218113638,1
33,286.7276118937,2
33,211.433825120349,3
33,334.95154419156,4
33,298.041991474993,5
33,311.257872392331,6
33,184.489799234293,7
33,273.621555030572,8
33,253.452736209192,9
33,259.393031062797,10
36,410.795206012433,1
36,439.92062499354,2
36,552.764091585452,3
36,379.999436643461,4
36,403.79469645253,5
36,373.382579196125,6
36,425.424513395097,7
36,276.344716321192,8
36,358.919826967642,9
36,542.463570717549,10
39,463.036854616319,1
39,429.081300842945,2
39,763.974542643678,3
39,587.175899865609,4
39,805.512000931777,5
39,687.349420794469,6
39,568.550176772879,7
39,721.776376999851,8
39,464.136584683826,9
39,674.374112606422,10
43,807.493745570729,1
43,1014.46304779261,2
43,952.02589199468,3
43,885.798651641055,4
43,868.420540229338,5
43,794.63097104574,6
43,1097.73649770468,7
43,1566.89150281921,8
43,857.135301106503,9
43,1056.29607191359,10
46,1105.30201866823,1
46,1845.0227097485,2
46,1531.18911722905,3
46,1053.90900199928,4
46,1450.09989907027,5
46,834.014100144868,6
46,1065.51728071446,7
46,743.098719646094,8
46,946.447075213326,9
46,850.363327133758,10
50,1184.07657908231,1
50,1779.30292724246,2
50,1095.76643662328,3
50,1493.57629606129,4
50,1495.48719651401,5
50,1710.69201470623,6
50,1590.64277620217,7
50,1609.13878775021,8
50,3006.84356631003,9
50,2064.65590072032,10
53,1991.97984065805,1
53,1427.75895768345,2
53,2931.88171377874,3
53,1695.27629847414,4
53,2097.29835542888,5
53,3348.47477079185,6
53,2010.13549460824,7
53,2581.16902215317,8
53,1918.76145663778,9
53,4079.83738629131,10
56,3233.92458053957,1
56,3386.66177757923,2
56,3196.7164695605,3
56,2794.94555232038,4
56,2605.5709343316,5
56,2198.71580985338,6
56,2940.81723730858,7
56,2539.18929797432,8
56,3218.60727375231,9
56,2746.93152385655,10
60,3479.77116624804,1
60,2646.49603306952,2
60,4699.14842196809,3
60,2974.17614054145,4
60,3800.65311782651,5
60,2113.7425342735,6
60,3829.33493915472,7
60,3152.16196123242,8
60,4650.14108140785,9
60,5033.26224183507,10
63,2364.87284665394,1
63,6282.55755314881,2
63,7720.35004687128,3
63,5381.75874441547,4
63,4687.55741501748,5
63,5433.1453458923,6
63,4163.49283300958,7
63,5269.2149610481,8
63,5177.66957332778,9
63,2727.09681704021,10
66,6101.9165292227,1
66,3653.12260584879,2
66,5377.07136915068,3
66,6523.38549939678,4
66,6169.9325063297,5
66,3961.29932546174,6
66,5209.23590833505,7
66,7757.42986955382,8
66,7205.62989195418,9
66,8301.52180523967,10
70,6495.66800257917,1
70,7413.11897594757,2
70,8171.02901795848,3
70,8857.90715002693,4
70,7764.75454410355,5
70,7377.69260667999,6
70,6289.44917881216,7
70,10244.4757388449,8
70,9854.1664964467,9
70,7762.54437848589,10
73,7340.56485344173,1
73,7924.07400126932,2
73,9419.60308302832,3
73,7687.06110805007,4
73,8889.60617751158,5
73,11292.6003707462,6
73,9117.84065094894,7
73,7632.17807794027,8
73,7740.77987210911,9
73,10961.0873782564,10
76,5082.53400261097,1
76,11654.9778181706,2
76,11071.0804083791,3
76,11543.7232997164,4
76,10313.7455106914,5
76,14348.672686184,6
76,8821.61629495263,7
76,12640.8533737382,8
76,15626.5698834613,9
76,11762.8584171993,10
80,12956.3010731142,1
80,15008.4777332008,2
80,8096.58330020149,3
80,21117.5427870127,4
80,14410.2777255618,5
80,9914.35565291259,6
80,9233.87439500606,7
80,20145.4746882805,8
80,9596.47679249706,9
80,12430.6716254155,10
83,17922.1828339088,1
83,23647.8836846681,2
83,13245.4977448988,3
83,14704.425794681,4
83,24498.6446320388,5
83,20756.1033873809,6
83,13158.7864400751,7
83,13387.4072894566,8
83,13390.1790364622,9
83,20598.3098356644,10
87,16354.4220776165,1
87,20286.5536563468,2
87,16378.7176253193,3
87,19799.5603884918,4
87,14554.5822384571,5
87,17024.0762136661,6
87,17008.5581689839,7
87,18047.4203291214,8
87,18405.2452189287,9
87,28102.9714572286,10
90,22785.1481023738,1
90,29108.8598364922,2
90,21177.1814854473,3
90,20013.0221108817,4
90,23967.0538152816,5
90,20715.0081813303,6
90,15661.1890049908,7
90,21058.0354230053,8
90,18316.9428901489,9
90,30034.4972209867,10
93,25318.1204636527,1
93,22122.6217078314,2
93,35136.8579442748,3
93,24682.3833750357,4
93,18476.310648942,5
93,14938.9935223075,6
93,33129.5025608167,7
93,19611.3994043183,8
93,21369.9125011844,9
93,24082.5431416585,10
97,24804.8771131041,1
97,24771.1398754032,2
97,27025.5591835404,3
97,20484.0639282076,4
97,34941.9910314676,5
97,21423.0786266603,6
97,40826.2034792283,7
97,41211.8725012754,8
97,27821.3421071231,9
97,31205.1764922631,10
100,37347.7222027146,1
100,52258.3596033227,2
100,35235.7420623111,3
100,28032.5642913736,4
100,45509.347362503,5
100,26270.2609784613,6
100,39001.004641466,7
100,34373.1467900132,8
100,24733.7241587614,9
100,32232.5187528497,10
103,45277.0656305749,1
103,46103.4816362311,2
103,33346.1046475001,3
103,51110.7105733233,4
103,33479.7153823807,5
103,44931.6480086535,6
103,38071.5513482344,7
103,29979.070226507,8
103,37571.3359150059,9
103,26429.0083891436,10
107,80204.2070607689,1
107,56474.7700210124,2
107,42128.0114690965,3
107,35398.6112046964,4
107,52993.159771851,5
107,33102.9589901442,6
107,39672.8953186176,7
107,43580.6664750621,8
107,40341.1960078772,9
107,35353.5135109281,10
110,48593.370924684,1
110,44723.8371539126,2
110,38726.3535103258,3
110,21098.6441883322,4
110,48029.6718696194,5
110,46112.911752003,6
110,53871.171109275,7
110,41396.213803407,8
110,88749.6179696697,9
110,49795.1513605018,10
113,72609.0164571471,1
113,59883.50908557,2
113,74503.5736463308,3
113,42064.2313866996,4
113,29673.1096639088,5
113,52698.7144909355,6
113,50458.1809892119,7
113,52656.3151267135,8
113,53746.7595900595,9
113,59605.5796600449,10
117,47613.7568107336,1
117,53574.655018247,2
117,55628.0911626151,3
117,65468.3043020249,4
117,92831.517180356,5
117,49184.6818315505,6
117,85162.8281458073,7
117,48425.7937990542,8
117,57809.590307589,9
117,72793.1991222048,10
120,82913.1762779575,1
120,54188.805919293,2
120,61557.0555399425,3
120,81835.2906313836,4
120,65886.7509543831,5
120,66332.68627642,6
120,70791.7398036821,7
120,55883.527158354,8
120,89921.9484566667,9
120,78561.5145887101,10
124,69843.7788925093,1
124,46382.8625124903,2
124,47784.8126649288,3
124,70157.2074297487,4
124,53729.7941988558,5
124,62205.4784920182,6
124,92737.9843909207,7
124,79139.5520752521,8
124,55475.4198583297,9
124,33141.8579992852,10
127,77667.0800773213,1
127,92247.7318939293,2
127,80385.6662883997,3
127,100582.265216602,4
127,64509.6040508677,5
127,87649.369923118,6
127,82595.3773096635,7
127,68395.3245974401,8
127,74896.639724219,9
127,95976.3652962489,10
130,68590.8555134698,1
130,85916.8429627306,2
130,90593.1014571036,3
130,84361.200489445,4
130,105001.302927951,5
130,75332.0134343603,6
130,65200.5380571506,7
130,93115.2224673563,8
130,95060.2771113417,9
130,64976.9608064559,10
134,75418.6703880982,1
134,97199.8578358207,2
134,73630.5003379209,3
134,50765.4071892616,4
134,83929.2445643923,5
134,132401.82786799,6
134,85332.2384295268,7
134,97587.7986852238,8
134,84461.648849506,9
134,112407.420006999,10
137,101657.024818034,1
137,123334.097501218,2
137,91971.88367077,3
137,92968.9642808118,4
137,120930.962191744,5
137,72938.6475205276,6
137,91551.5070683724,7
