"dim","best","repetition"
2,3.4473940687391,1
2,2.05008793699651,2
2,11.9221468511309,3
2,0.30127303760546,4
2,0.750677383994446,5
2,1.7770043666471,6
2,10.3142686703843,7
2,0.0429800443312432,8
2,55.8191400304529,9
2,1.5306535010058,10
6,390.604354264097,1
6,142.900295400388,2
6,196.270074127969,3
6,188.82297839856,4
6,103.271448066675,5
6,2519.09862825965,6
6,197.654776781002,7
6,798.398822578979,8
6,3184.7618904934,9
6,75.6822975900278,10
9,602.193947181438,1
9,2006.68791614855,2
9,913.781383843288,3
9,458.152004889716,4
9,19501.3933301475,5
9,1075.95008047492,6
9,4815.20336175702,7
9,2985.54737530852,8
9,682.22561489661,9
9,2517.57673115769,10
13,5049.83803601329,1
13,29606.7452878197,2
13,11185.8345371577,3
13,25515.6325033347,4
13,6861.23544198477,5
13,28990.0608435744,6
13,6817.94447596392,7
13,11860.683489861,8
13,2704.88555040236,9
13,39352.0607722569,10
16,70713.5594942306,1
16,46774.1429467326,2
16,6027.04532294939,3
16,33869.0235326254,4
16,36369.224931059,5
16,29358.7128921757,6
16,28211.5563224537,7
16,12667.1664062522,8
16,68258.3005445389,9
16,11071.9895123886,10
19,21131.2798653957,1
19,77556.9803975864,2
19,123895.781615049,3
19,64837.404646751,4
19,91224.1078750743,5
19,193750.633559791,6
19,83488.0536527309,7
19,67393.7049034411,8
19,63157.7113411117,9
19,148338.240136884,10
23,82862.7609655886,1
23,251264.554802587,2
23,39819.1728597923,3
23,289326.61095673,4
23,357509.757361017,5
23,76839.1563478446,6
23,128123.271838868,7
23,286388.499801559,8
23,87141.754276462,9
23,106948.809703807,10
26,434258.059435887,1
26,472057.1172721,2
26,463206.030859335,3
26,238372.109041117,4
26,242950.116771185,5
26,561905.475135396,6
26,70930.8764835521,7
26,399136.3517631,8
26,418529.901191704,9
26,626367.603039263,10
29,750626.627124633,1
29,514004.436964848,2
29,750934.540701512,3
29,917530.278432223,4
29,522573.392734525,5
29,718603.938637814,6
29,323023.74306697,7
29,492426.954190812,8
29,529450.144731556,9
29,570065.187880399,10
33,737073.274181545,1
33,485053.763952796,2
33,726350.999076525,3
33,690783.605993266,4
33,818330.811673568,5
33,1099019.28075812,6
33,430403.336006395,7
33,1060207.92731572,8
33,888356.932962962,9
33,746240.229238021,10
36,1163029.06695088,1
36,821525.528144089,2
36,1028285.05938966,3
36,879455.080739822,4
36,1230904.19496471,5
36,1053769.7785771,6
36,867402.894089467,7
36,1000151.72481155,8
36,1060753.97839886,9
36,1202787.34449452,10
39,1585073.36302162,1
39,1256217.70942916,2
39,1608107.69464427,3
39,1474165.37957669,4
39,1320958.88258683,5
39,1202473.89947038,6
39,1038326.10009797,7
39,1077839.36697166,8
39,1493241.86210068,9
39,1083487.70224521,10
43,1524643.61941362,1
43,1742706.44106155,2
43,1514911.39729998,3
43,1573051.04565625,4
43,1742759.06521315,5
43,1606018.95683129,6
43,1909277.88607605,7
43,1697419.22700022,8
43,1703820.97909008,9
43,1901808.4936697,10
46,1935294.1492183,1
46,1583409.90954049,2
46,1437414.05993199,3
46,1664961.60100968,4
46,1868770.3974499,5
46,1978513.37859871,6
46,2025486.35006552,7
46,1929480.56335463,8
46,1676208.43465685,9
46,1690306.45436841,10
50,2364359.32524521,1
50,2170518.18926726,2
50,2299397.30971716,3
50,2213285.33457801,4
50,2330026.35846618,5
50,2150259.75342038,6
50,2089934.55041338,7
50,1422277.14680844,8
50,2054431.98392618,9
50,1874899.61021462,10
53,2356478.73315712,1
53,2332763.56645342,2
53,2184577.06257429,3
53,2107023.16350016,4
53,2656273.08202828,5
53,2604365.8389881,6
53,2364152.73094791,7
53,2205876.10680168,8
53,2267366.98136903,9
53,1958474.07562516,10
56,2298000.26676557,1
56,2495797.05176427,2
56,2349700.87350004,3
56,2372588.54730294,4
56,2768957.41445253,5
56,2866154.9774992,6
56,2600805.84333498,7
56,2988610.21784439,8
56,2815894.71377216,9
56,2622996.15387375,10
60,3250833.66699807,1
60,3011916.56669463,2
60,3777283.57142529,3
60,3613277.0959493,4
60,2695704.02109498,5
60,2625803.3937165,6
60,2106383.25983248,7
60,2809228.73214101,8
60,2761149.01820965,9
60,3805200.27237397,10
63,2430011.04086918,1
63,2824619.31118403,2
63,2418341.74536138,3
63,3489878.117682,4
63,3699478.27445077,5
63,3185251.95208691,6
63,3609553.65036528,7
63,3879467.57407068,8
63,3197674.29295211,9
63,3279093.83603471,10
66,4591431.25027039,1
66,3019225.94926884,2
66,3874888.39247425,3
66,3595545.99878887,4
66,3972055.56805139,5
66,3522980.00480501,6
66,3339996.17540976,7
66,3651252.93489058,8
66,3714965.82441453,9
66,3961308.91604463,10
70,4367699.47830658,1
70,5279000.33462421,2
70,4366296.77456118,3
70,4424068.76730681,4
70,4436760.29924642,5
70,3790924.17698605,6
70,4055185.35572638,7
70,3852282.4512479,8
70,4598258.07731082,9
70,4527828.08839491,10
73,4659163.57905206,1
73,4090215.02018145,2
73,4098372.76498874,3
73,3360286.41282323,4
73,4648186.8002592,5
73,5123929.82156477,6
73,5028251.53391854,7
73,4271435.61629292,8
73,4929858.93757794,9
73,4512092.81444916,10
76,4098726.5904264,1
76,4997868.50059134,2
76,3783347.54011271,3
76,4751638.21474885,4
76,4572940.85225666,5
76,4350451.94947405,6
76,4931674.34947953,7
76,4671198.93144623,8
76,4276743.06539816,9
76,5347647.837582,10
80,4694882.12680974,1
80,5330906.11839829,2
80,5566188.0989824,3
80,5392927.75080981,4
80,5482122.55035667,5
80,4778314.27419767,6
80,3941914.31141468,7
80,4596631.12046817,8
80,5780045.28785869,9
80,4750684.38468252,10
83,5319286.24618695,1
83,6345264.28241276,2
83,4870034.60597882,3
