"dim","best","repetition"
2,14.7856279948758,1
2,14.8757612629085,2
2,27.6305243854072,3
2,9.67474812764837,4
2,3.59951437755497,5
2,1.18721089050988,6
2,12.1424459349415,7
2,1.19015700156676,8
2,1.3037324700352,9
2,7.85307379552395,10
6,1040.76283028606,1
6,246.113522025849,2
6,672.29209659683,3
6,1894.12662678942,4
6,1090.61390992624,5
6,1485.74253167161,6
6,2283.9525004514,7
6,905.665144887252,8
6,46.9490406504655,9
6,544.71730870906,10
9,472.22303448087,1
9,3179.90859204647,2
9,10249.1586618757,3
9,1212.6504891112,4
9,5787.11667959362,5
9,5599.41461497808,6
9,2841.09463795776,7
9,4245.21787412005,8
9,202.581793520289,9
9,6344.08200481701,10
13,12712.1817047351,1
13,58120.6848339624,2
13,15937.2191967393,3
13,34928.5798684391,4
13,10638.0314545801,5
13,28149.6983907628,6
13,30979.8386149242,7
13,6866.03180440879,8
13,6947.08654773081,9
13,17282.7907782656,10
16,40902.3493151994,1
16,15665.9738828161,2
16,33427.4805773327,3
16,75963.7806477977,4
16,26314.1102827622,5
16,45621.7476696625,6
16,21666.2933600875,7
16,138402.805399224,8
16,28275.3996497948,9
16,11926.1142376384,10
19,90813.8625854142,1
19,26522.3025710031,2
19,77654.3449252626,3
19,205576.655481047,4
19,89869.1220196677,5
19,65379.2298797259,6
19,139518.875129761,7
19,277867.391030522,8
19,68757.1242586389,9
19,125884.244657765,10
23,175484.121072687,1
23,236229.312953345,2
23,95635.8329110755,3
23,210850.09395036,4
23,70622.8273299275,5
23,357098.688571512,6
23,393418.103420706,7
23,225305.867887966,8
23,231556.653227022,9
23,175804.244363057,10
26,265764.756402517,1
26,484143.876391622,2
26,369357.291115009,3
26,308735.416756248,4
26,292301.991324686,5
26,313658.898766972,6
26,255156.940908562,7
26,628521.77562689,8
26,410018.454835079,9
26,517950.678301405,10
29,504416.26794226,1
29,62668.155962332,2
29,662618.742485384,3
29,846957.359682936,4
29,675242.154842479,5
29,574466.764613958,6
29,689610.728830333,7
29,725667.804532557,8
29,709327.238210784,9
29,571277.693998664,10
33,730019.35104356,1
33,786818.109237656,2
33,1107381.16526063,3
33,899511.313422387,4
33,704666.313219326,5
33,801992.355148694,6
33,829395.353421692,7
33,878249.46957609,8
33,953788.455888325,9
33,892603.915193222,10
36,1010330.21408778,1
36,1095134.70171299,2
36,1419487.87027972,3
36,913432.048337089,4
36,1026437.25347155,5
36,1157900.21208057,6
36,1127124.99419148,7
36,1207725.09818234,8
36,1184679.89650476,9
36,1208095.41942754,10
39,1317966.29025635,1
39,1441222.08670077,2
39,1392714.26451406,3
39,1430907.49390152,4
39,889797.818304198,5
39,1096837.15905585,6
39,1217886.79284827,7
39,1097566.77234872,8
39,1428775.71162774,9
39,1191727.47132871,10
43,1873652.93899071,1
43,1497109.06001148,2
43,1531480.79937999,3
43,1872771.29024594,4
43,1555939.16523095,5
43,1759232.34068838,6
43,1637445.49637004,7
43,1532417.98122705,8
43,1257555.85352773,9
43,1644089.93419848,10
46,1798317.78625047,1
46,1860704.32767867,2
46,1724748.37653646,3
46,1480491.08463046,4
46,1955681.62602371,5
46,2000015.34561577,6
46,1851858.04195078,7
46,1924714.21103423,8
46,2040590.10237167,9
46,1661656.17881657,10
50,1943337.99303571,1
50,2136692.85962201,2
50,2147512.84308882,3
50,2301489.30925332,4
50,2286753.98058329,5
50,2062418.94755435,6
50,2216605.93531311,7
50,1571839.50095825,8
50,2420599.90868461,9
50,1774572.81610599,10
53,2252820.9319625,1
53,2144351.38569529,2
53,2544781.18474753,3
53,2533518.85646845,4
53,2619918.61158557,5
53,2593978.37306982,6
53,2266926.02180873,7
53,3694699.22594824,8
53,2323866.95818305,9
53,2216276.18915878,10
56,2533004.84151518,1
56,2383849.05599742,2
56,2721800.85821078,3
56,3060167.52552533,4
56,2678161.38011667,5
56,2720204.270682,6
56,2278211.1487571,7
56,2789892.68617207,8
56,2618028.55866016,9
56,3537020.54685279,10
60,2851699.03002594,1
60,3597064.44667798,2
60,4087510.35909783,3
60,2762814.71465831,4
60,3347728.0820843,5
60,2725138.33768011,6
60,3310429.80445349,7
60,2795362.76612803,8
60,2472668.27868806,9
60,3355914.15076862,10
63,2663493.63644562,1
63,3935727.02598352,2
63,3934747.4539818,3
63,2541452.74433486,4
63,3371380.74532919,5
63,3097440.55219723,6
63,3410450.03503384,7
63,3417984.65337827,8
63,3694256.51982995,9
63,2498488.49365043,10
66,3772466.76979482,1
66,3630936.31634498,2
66,2149959.41483741,3
66,3994095.0194288,4
66,4251264.91208746,5
66,4097343.05811716,6
66,3851049.67294066,7
66,4644184.59721164,8
66,4656628.75651651,9
66,4431072.97310408,10
70,4527171.84587202,1
70,3710020.27212132,2
70,4904994.07612357,3
70,3317172.03540902,4
70,4611062.85945804,5
70,4166823.13873551,6
70,3589654.18102955,7
70,4869318.93124914,8
70,4775897.72220904,9
70,4419007.46959344,10
73,4074784.51638003,1
73,4179858.22295589,2
73,4251602.534425,3
73,4235517.49671495,4
73,3738918.43619944,5
73,5293269.68878463,6
73,4543450.3852491,7
73,3726666.82803441,8
73,4206770.28458611,9
73,4196832.27117014,10
76,4751031.2943676,1
76,5209036.62077256,2
76,4928385.32483032,3
76,4184680.67779301,4
76,5073247.20045054,5
76,4949521.93524501,6
76,5456193.32449602,7
76,4516365.99765406,8
76,3690649.46189716,9
76,4267079.81976564,10
80,4687648.07165005,1
80,3583900.29211408,2
80,5340541.57139373,3
80,5885139.57216317,4
80,5328883.62223617,5
80,5554660.2719133,6
80,5568457.00911272,7
80,5372409.02845947,8
80,3434771.12910291,9
80,5324388.22890141,10
83,4566207.28783539,1
83,5639701.5648691,2
83,5978844.38458591,3
83,5716892.31398091,4
83,4593069.00558977,5
83,5034551.45385253,6
83,5949863.3129485,7
83,5102030.19430436,8
83,6325704.25838087,9
83,5109742.82611217,10
87,4359878.40854599,1
87,5862183.84780097,2
87,5401723.76852007,3
87,5497730.44143869,4
87,5802447.42883726,5
87,5761471.67291014,6
87,5346596.52879372,7
