"dim","best"
2,0
6,2.5351706852144e-07
9,2.91427912294895
12,9.76188625828125
15,14.4853597783985
18,21.677281864705
21,47.4543951645243
24,68.3467668807912
27,219.028556270632
30,252.835577879481
33,241.18104728638
36,445.821047589968
39,413.537957857891
42,884.691781461958
45,1089.12219968611
48,1027.01431959385
51,2632.53163289943
54,3567.21207314774
57,3288.10015433256
60,3461.05765203267
63,4827.24134119171
66,5834.40480688602
69,6751.37351700958
72,12909.9916570687
75,12799.1774157321
78,12705.6126854314
81,11711.3231332815
84,18351.8093021292
87,19457.6298463299
90,22441.8634195092
93,24308.6522964698
96,23323.1587009405
99,28457.1277183183
102,33849.7726687599
105,53899.483311621
108,44517.7633555069
111,53866.453119236
114,69698.4960325349
117,50719.2554922341
120,77643.8117334438
123,61150.4938718055
126,85802.1039071131
129,107554.58915866
132,89152.2128550652
135,101055.758123967
138,122981.496922695
141,130312.404173987
144,122954.998903515
147,136785.093524851
150,107237.245893971
150,11465591.4215424
